budget,bases,covered_high_risk_points,total_high_risk_points,high_risk_coverage_percent,all_high_risk_covered,uncovered_high_risk_ids,risk_coverage_percent,covered_points
700000,8,183,371,49.32614555256065,False,"3,4,7,8,9,10,11,12,13,23,25,29,30,31,32,33,34,35,43,45,46,47,48,49,51,58,59,60,61,71,72,73,83,84,96,97,99,108,109,114,115,121,124,126,129,133,134,135,138,139,140,146,158,160,164,165,175,183,184,187,189,190,191,192,193,194,196,197,198,199,200,209,216,218,219,220,221,222,223,225,235,244,245,249,257,259,260,268,269,274,277,278,285,310,316,317,318,335,339,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,536,537,538,539,540,561,562,563,564,565,586,587,588,589,611,636,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",30.073800738007378,200
750000,9,200,371,53.908355795148246,False,"3,4,12,13,23,25,29,30,31,43,45,46,47,48,49,51,71,72,73,96,97,99,114,115,121,124,126,129,133,134,135,138,139,140,146,158,160,164,165,175,183,184,187,189,190,191,192,193,194,196,197,198,199,200,209,216,218,219,220,221,222,223,225,235,244,245,249,257,259,260,268,269,274,277,278,285,310,316,317,318,335,339,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,536,537,538,539,540,561,562,563,564,565,586,587,588,589,611,636,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",33.61008610086101,225
800000,10,218,371,58.760107816711596,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,91,92,99,124,126,129,133,134,135,158,160,168,169,170,175,183,184,187,193,194,196,197,198,199,200,209,218,219,220,221,222,223,225,240,244,245,249,257,259,268,269,274,277,278,290,315,316,317,318,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,536,537,538,539,540,561,562,563,564,565,586,587,588,589,611,636,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",37.14637146371464,250
850000,10,218,371,58.760107816711596,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,91,92,99,124,126,129,133,134,135,158,160,168,169,170,175,183,184,187,193,194,196,197,198,199,200,209,218,219,220,221,222,223,225,240,244,245,249,257,259,268,269,274,277,278,290,315,316,317,318,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,536,537,538,539,540,561,562,563,564,565,586,587,588,589,611,636,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",37.14637146371464,250
900000,11,234,371,63.07277628032345,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,91,92,99,124,126,129,133,134,135,158,160,168,169,170,175,183,184,187,193,194,196,197,198,199,200,209,218,219,220,221,222,223,225,240,244,245,249,257,259,268,269,274,277,278,290,315,316,317,318,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",40.59040590405904,275
950000,11,234,371,63.07277628032345,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,91,92,99,124,126,129,133,134,135,158,160,168,169,170,175,183,184,187,193,194,196,197,198,199,200,209,218,219,220,221,222,223,225,240,244,245,249,257,259,268,269,274,277,278,290,315,316,317,318,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",40.59040590405904,275
1000000,12,250,371,67.38544474393531,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,91,92,99,124,126,129,133,134,135,158,160,175,183,184,187,198,199,200,209,223,225,240,249,257,259,274,277,278,290,315,316,317,318,342,343,344,364,377,378,379,388,390,395,398,401,403,404,405,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,648,656,660,663,674,675,678,679,680,681,682,699,700,725,727,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",43.97293972939729,300
1050000,13,260,371,70.08086253369272,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,99,124,126,129,133,134,135,158,160,175,183,184,187,198,199,200,209,216,223,225,235,249,274,277,278,280,305,316,317,318,339,342,343,344,355,364,381,382,388,390,395,398,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",47.23247232472325,324
1100000,13,260,371,70.08086253369272,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,99,124,126,129,133,134,135,158,160,175,183,184,187,198,199,200,209,216,223,225,235,249,274,277,278,280,305,316,317,318,339,342,343,344,355,364,381,382,388,390,395,398,406,415,416,419,420,424,425,431,441,442,444,450,462,463,468,469,472,474,475,487,492,494,497,506,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",47.23247232472325,324
1150000,14,271,371,73.04582210242587,False,"3,4,12,13,23,25,29,30,31,48,49,51,66,67,73,99,124,126,129,133,134,135,158,160,175,183,184,187,198,199,200,209,216,223,225,235,249,274,277,278,280,305,316,317,318,339,342,343,344,355,364,381,382,388,390,398,406,415,424,425,431,450,462,463,472,474,475,487,497,506,520,521,522,648,656,660,663,674,675,681,682,699,700,725,749,750,751,752,753,774,776,777,784,788,799,800,801,802,813,825",50.3690036900369,348
